e 0.3396481744772178 0.0012536299608590928 0.006481910699814353
$\omega$ (rad) 2.3102504489823805 0.019278055233124203 0.00355075576912256
i (°) 87.15198660364834 0.03818251254874383 0.04178120724404266
q 13.575305381945963 2.3219052564320712 1.5474673875998448
$\Omega_1$ 40.13983782404071 3.440295006906261 2.419891867192753
$\Omega_2$ 424.82314499542383 70.61886411941805 47.01813610319499
T$_2/10^{4}$(K) 5.253060850952008 0.09011201188771079 0.07271970857162025
$\phi$ -0.0605775381160247 0.00011709173108769705 0.0005619382721242377
f -5.077133932063866 0.038692582497109385 0.03774717930105709
T1 29200.0 200 200
T2 52530.60850952008 23219.913909932744 15475.966256376652
M1 0.0988 0.09759999999999999 0.345
M2 1.4441 1.4294 4.4143
R1 2.5585 1.9925000000000002 1.5817800000000006
R2 1.5431 1.1903 1.0124
g1 2.62 0.6000000000000001 0.23999999999999977
g2 4.16 0.6200000000000001 0.22999999999999954
L1 3.632257736663813 1.3103379802397295 0.4180885827458378
L2 4.213193357407859 1.2817309896032913 0.43816362805965614
