a 32.66779882658313 0.8182754960605081 0.9249796919132933
w -18.347147837892525 29.664796100663292 30.101519002722387
q 0.6436177834342764 0.021792246734366527 0.0256360581942493
$i\,(\degree)$ 60.33108398635946 2.49091729218884 2.154644521634367
$\Omega_{1,2}$ 3.9575373891661334 0.19742527676809063 0.26847876283161476
$T_2/10^{4}\,\mathrm{(K)}$ 4.2671531722353055 0.695554445726144 0.8802742107082953
f -2.651773928980849 0.07312014993803206 0.06358591711192751
T1 46000.0 200 200
T2 42671.53172235306 6958.419267113784 8805.013833254961
M1 39.60565 2.6547819999999973 3.1866660000000024
M2 25.45785 1.8493540000000017 2.2838819999999984
R1 9.93275 0.7444220000000001 0.8694939999999995
R2 7.5638 0.6710719999999997 0.8270720000000003
g1 4.04 0.06000000000000005 0.05999999999999961
g2 4.08 0.07000000000000028 0.07000000000000028
L1 5.599925824355373 0.06766602936365462 0.0728889563067856
L2 5.232788491590486 0.08069779215646022 0.09013411858138909
